CountryName,CountryCode,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Population,GDPOf2019,RankOf2021
China,CHN,4.55,4.57,4.59,4.61,4.63,4.53,4.44,4.28,4.52,5,4.82,"1,397,715,000",19910000000000,125
Colombia,COL,10.11,9.74,9.05,8.57,8.3,8.69,8.87,9.11,9.96,15.04,14.34,"50,339,443",323802808108,30
Comoros,COM,7.05,7.41,7.76,8.14,8.14,8.1,8.09,8.08,8.08,9.22,9.45,"850,886",1185728677,54
Congo,COG,20.18,20.18,20.32,20.31,20.45,20.56,20.56,20.61,20.62,22.84,23.01,"5,380,508",10820591131,6
Costa Rica,CRI,10.14,9.78,8.77,9.06,9,8.6,8.14,9.63,11.49,17.41,17.95,"5,047,561",61773944174,15
Croatia,HRV,13.68,15.93,17.25,17.29,16.18,13.1,11.21,8.43,6.62,7.51,8.68,"4,067,500",60415553039,61
Cuba,CUB,3.18,3.46,3.29,2.7,2.4,2,1.7,1.7,1.74,2.62,2.76,"11,333,483",100023000000,163
Cyprus,CYP,7.86,11.8,15.87,16.09,14.91,12.95,11.05,8.37,7.07,7.59,6.13,"1,198,575",24564647935,97
Czech Republic,CZE,6.71,6.98,6.95,6.11,5.05,3.95,2.89,2.24,2.01,2.55,2.89,"10,669,709",246489245495,161
Democratic Republic of the Congo,COD,4.25,4.49,4.48,4.46,4.47,4.48,4.47,4.45,4.45,5.27,5.43,"86,790,567",47319624204,104
Denmark,DNK,7.77,7.8,7.38,6.93,6.28,5.99,5.83,5.13,5.02,5.64,4.8,"5,818,553",348078018464,126
Djibouti,DJI,26.89,26.78,26.64,26.48,26.33,26.19,26.06,26.19,26.36,28.39,28.39,"973,560",3318716359,2
Dominican Republic,DOM,6.09,6.72,7.35,6.72,7.61,7.28,5.83,5.86,6.36,6.13,8.5,"10,738,958",88941298258,66
Ecuador,ECU,3.46,3.23,3.08,3.48,3.62,4.6,3.84,3.53,3.81,6.11,6.43,"17,373,662",107435665000,91
Egypt,EGY,11.85,12.6,13.15,13.1,13.05,12.41,11.74,9.82,7.84,9.17,9.33,"100,388,073",303175127598,55
El Salvador,SLV,4.3,3.84,3.69,4.15,4,4.42,4.39,4.01,4.17,6.25,5.94,"6,453,553",27022640000,101
Equatorial Guinea,GNQ,8.73,8.61,8.51,8.48,8.54,8.63,8.65,8.62,8.68,9.9,9.24,"1,355,986",11026774945,56
Eritrea,ERI,5.52,5.53,5.58,5.67,5.83,5.9,5.94,5.95,5.99,7.86,8.05,"6,333,135",2065001626,70
Estonia,EST,12.33,10.02,8.63,7.35,6.19,6.76,5.76,5.37,4.45,6.8,6.33,"1,331,824",31386949981,95
Eswatini,SWZ,25.81,25.15,24.55,23.97,23.33,22.72,22.75,22.79,22.84,25.51,25.76,"1,093,238",3791304348,3
Ethiopia,ETH,2.31,2.29,2.25,2.26,2.27,2.29,2.3,2.32,2.33,3.24,3.69,"112,078,730",96107662398,149
Fiji,FJI,4.41,4.42,4.33,4.29,4.3,4.32,4.28,4.33,4.45,4.72,5.24,"889,953",5535548972,111
Finland,FIN,7.78,7.69,8.19,8.66,9.38,8.82,8.64,7.36,6.69,7.76,7.53,"5,520,314",268761201365,76
France,FRA,8.81,9.4,9.92,10.29,10.35,10.05,9.41,9.02,8.41,8.01,8.06,"67,059,887",2715518274227,69
French Polynesia,PYF,12.29,12.21,12.17,12.2,12.17,12.18,12.21,12.25,12.3,14.1,14.39,"299,356",3447543138,29
